"Factor","SSLoadings","ProportionVar","CumulativeVar","ProportionExplained","CumulativeProportion"
"Factor1",3.623,0.125,0.125,0.183,0.183
"Factor2",2.853,0.098,0.223,0.144,0.326
"Factor3",2.816,0.097,0.32,0.142,0.468
"Factor4",2.674,0.092,0.413,0.135,0.603
"Factor5",2.666,0.092,0.505,0.134,0.738
"Factor6",2.651,0.091,0.596,0.134,0.871
"Factor7",2.553,0.088,0.684,0.129,1
